,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance,correct
1430,67,5,2,0.465,0.865,-9.573,0.098,0.018000000000000002,0.00135,0.0769,0.677,117.528,237893,0.4364444444444445,-0.10186111111111114,2,3.964883333333333,125,31.526778845951753,0,False
1730,3,5,15,0.273,0.84,-3.497,0.133,0.0238,9.21e-06,0.0707,0.6559999999999999,208.527,205907,0.526482213438735,0.18577075098814225,1,3.431783333333333,273,79.55047667150704,0,False
2439,54,5,7,0.362,0.866,-6.319,0.0725,1.25e-05,0.312,0.0831,0.371,166.007,314573,0.3825925925925928,-0.040370370370370376,0,5.242883333333333,191,36.43033572493507,2,False
1795,33,3,9,0.8059999999999999,0.388,-8.481,0.0473,0.687,0.00353,0.0798,0.7659999999999999,102.973,201133,0.4479166666666666,0.07083333333333336,0,3.352216666666666,150,44.746511015099465,0,False
2020,41,3,23,0.32,0.7440000000000001,-4.72,0.133,0.597,0.0,0.343,0.386,162.341,317133,0.55,0.01496212121212119,0,5.28555,201,38.02820898487386,0,False
3078,32,5,15,0.626,0.621,-8.665,0.0443,0.0263,2.64e-05,0.204,0.708,150.089,197354,0.3407407407407408,0.13703703703703704,0,3.289233333333333,205,62.32455384740111,0,False
711,14,5,7,0.54,0.423,-8.799,0.0283,0.294,0.0884,0.152,0.353,150.135,306040,0.5490196078431371,0.2450980392156863,5,5.100666666666666,279,54.698732191870356,0,False
6107,56,5,2,0.638,0.6859999999999999,-9.876,0.0366,0.314,0.23,0.0678,0.7659999999999999,126.045,256360,0.5382440476190478,0.2528273809523809,7,4.272666666666667,274,64.12856919956312,0,False
5071,2,3,13,0.643,0.413,-11.929,0.0564,0.129,0.00105,0.095,0.339,130.026,386612,0.4145943562610229,0.12610229276895946,26,6.443533333333333,716,111.11915822581814,0,False
5773,66,3,23,0.6579999999999999,0.711,-7.423999999999999,0.0425,0.0759,1.77e-05,0.0446,0.614,172.365,284587,0.4867413632119514,0.26992880485527543,13,4.743116666666666,648,136.61903038438157,2,False
